image_id,image_no,image_name,image_path,longitude,latitude,width,height,format,file_size_bytes
S2_000155,155,"-113.925428,50.903131.jpg",data\processed\images\S2_000155.jpg,-113.925428,50.903131,350,350,JPEG,44687
S2_000156,156,"-113.925444,51.031373.jpg",data\processed\images\S2_000156.jpg,-113.925444,51.031373,350,350,JPEG,21042
S2_000157,157,"-113.925619,51.01324.jpg",data\processed\images\S2_000157.jpg,-113.925619,51.01324,350,350,JPEG,18614
S2_000158,158,"-113.925665,51.098692.jpg",data\processed\images\S2_000158.jpg,-113.925665,51.098692,350,350,JPEG,36370
S2_000159,159,"-113.92568,50.913958.jpg",data\processed\images\S2_000159.jpg,-113.92568,50.913958,350,350,JPEG,38670
S2_000160,160,"-113.925756,51.094666.jpg",data\processed\images\S2_000160.jpg,-113.925756,51.094666,350,350,JPEG,27978
S2_000161,161,"-113.925758,50.910081.jpg",data\processed\images\S2_000161.jpg,-113.925758,50.910081,350,350,JPEG,29102
S2_000162,162,"-113.925944,50.925923.jpg",data\processed\images\S2_000162.jpg,-113.925944,50.925923,350,350,JPEG,27561
S2_000163,163,"-113.926072,51.13956.jpg",data\processed\images\S2_000163.jpg,-113.926072,51.13956,350,350,JPEG,20508
S2_000164,164,"-113.926116,51.045406.jpg",data\processed\images\S2_000164.jpg,-113.926116,51.045406,350,350,JPEG,42960
S2_000165,165,"-113.926133,50.985596.jpg",data\processed\images\S2_000165.jpg,-113.926133,50.985596,350,350,JPEG,16565
S2_000166,166,"-113.926143,50.906632.jpg",data\processed\images\S2_000166.jpg,-113.926143,50.906632,350,350,JPEG,31058
S2_000167,167,"-113.926168,50.943202.jpg",data\processed\images\S2_000167.jpg,-113.926168,50.943202,350,350,JPEG,21811
S2_000168,168,"-113.926248,50.916488.jpg",data\processed\images\S2_000168.jpg,-113.926248,50.916488,350,350,JPEG,48001
S2_000169,169,"-113.926344,51.14274.jpg",data\processed\images\S2_000169.jpg,-113.926344,51.14274,350,350,JPEG,16964
S2_000170,170,"-113.926386,50.951858.jpg",data\processed\images\S2_000170.jpg,-113.926386,50.951858,350,350,JPEG,29505
S2_000171,171,"-113.926404,51.04916.jpg",data\processed\images\S2_000171.jpg,-113.926404,51.04916,350,350,JPEG,44312
S2_000172,172,"-113.926561,51.132558.jpg",data\processed\images\S2_000172.jpg,-113.926561,51.132558,350,350,JPEG,35996
S2_000173,173,"-113.926571,50.971379.jpg",data\processed\images\S2_000173.jpg,-113.926571,50.971379,350,350,JPEG,25135
S2_000174,174,"-113.926775,51.094334.jpg",data\processed\images\S2_000174.jpg,-113.926775,51.094334,350,350,JPEG,30305
S2_000175,175,"-113.926781,51.026341.jpg",data\processed\images\S2_000175.jpg,-113.926781,51.026341,350,350,JPEG,22370
S2_000176,176,"-113.926916,50.921776.jpg",data\processed\images\S2_000176.jpg,-113.926916,50.921776,350,350,JPEG,41181
S2_000177,177,"-113.92711,51.157318.jpg",data\processed\images\S2_000177.jpg,-113.92711,51.157318,350,350,JPEG,21697
S2_000178,178,"-113.927225,51.159259.jpg",data\processed\images\S2_000178.jpg,-113.927225,51.159259,350,350,JPEG,21338
S2_000179,179,"-113.927315,51.118192.jpg",data\processed\images\S2_000179.jpg,-113.927315,51.118192,350,350,JPEG,42896
S2_000180,180,"-113.927354,50.915741.jpg",data\processed\images\S2_000180.jpg,-113.927354,50.915741,350,350,JPEG,46372
